
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
   133             1        8.261369E-03      1.911280E-04       2
   134             1        8.261333E-03      1.901336E-04       2
   135             1        8.261297E-03      1.891473E-04       2
   136             1        8.261262E-03      1.881691E-04       2
   137             1        8.261227E-03      1.871988E-04       2
   138             1        8.261193E-03      1.862364E-04       2
   139             1        8.261158E-03      1.852817E-04       2
   140             1        8.261125E-03      1.843347E-04       2
   141             1        8.261091E-03      1.833954E-04       2
   142             1        8.261058E-03      1.824636E-04       2
   143             1        8.261025E-03      1.815392E-04       2
   144             1        8.260992E-03      1.806223E-04       2
   145             1        8.260960E-03      1.797126E-04       2
   146             1        8.260928E-03      1.788102E-04       2
   147             1        8.260897E-03      1.779150E-04       2
   148             1        8.260866E-03      1.770268E-04       2
   149             1        8.260835E-03      1.761456E-04       2
   150             1        8.260804E-03      1.752715E-04       2
   151             1        8.260774E-03      1.744041E-04       2
   152             1        8.260744E-03      1.735436E-04       2
   153             1        8.260714E-03      1.726898E-04       2
   154             1        8.260684E-03      1.718427E-04       2
   155             1        8.260655E-03      1.710022E-04       2
   156             1        8.260626E-03      1.701682E-04       2
   157             1        8.260598E-03      1.693407E-04       2
   158             1        8.260570E-03      1.685196E-04       2
   159             1        8.260542E-03      1.677049E-04       2
   160             1        8.260514E-03      1.668964E-04       2
   161             1        8.260486E-03      1.660941E-04       2
   162             1        8.260459E-03      1.652980E-04       2
   163             1        8.260432E-03      1.645080E-04       2
   164             1        8.260405E-03      1.637240E-04       2
   165             1        8.260379E-03      1.629460E-04       2
   166             1        8.260353E-03      1.621739E-04       2
   167             1        8.260327E-03      1.614076E-04       2
   168             1        8.260301E-03      1.606472E-04       2
   169             1        8.260275E-03      1.598925E-04       2
   170             1        8.260250E-03      1.591434E-04       2
   171             1        8.260225E-03      1.584000E-04       2
   172             1        8.260200E-03      1.576622E-04       2
   173             1        8.260176E-03      1.569299E-04       2
   174             1        8.260151E-03      1.562030E-04       2
   175             1        8.260127E-03      1.554816E-04       2
   176             1        8.260103E-03      1.547655E-04       2
   177             1        8.260080E-03      1.540547E-04       2
   178             1        8.260056E-03      1.533492E-04       2
   179             1        8.260033E-03      1.526489E-04       2
   180             1        8.260010E-03      1.519537E-04       2
   181             1        8.259987E-03      1.512636E-04       2
   182             1        8.259965E-03      1.505786E-04       2
   183             1        8.259942E-03      1.498986E-04       2
   184             1        8.259920E-03      1.492236E-04       2
   185             1        8.259898E-03      1.485534E-04       2
   186             1        8.259876E-03      1.478881E-04       2
   187             1        8.259855E-03      1.472277E-04       2
   188             1        8.259833E-03      1.465720E-04       2
   189             1        8.259812E-03      1.459210E-04       2
   190             1        8.259791E-03      1.452747E-04       2
   191             1        8.259770E-03      1.446331E-04       2
   192             1        8.259749E-03      1.439961E-04       2
   193             1        8.259729E-03      1.433636E-04       2
   194             1        8.259709E-03      1.427356E-04       2
   195             1        8.259688E-03      1.421120E-04       2
   196             1        8.259668E-03      1.414929E-04       2
   197             1        8.259649E-03      1.408782E-04       2
   198             1        8.259629E-03      1.402678E-04       2
   199             1        8.259610E-03      1.396617E-04       2
   200             1        8.259590E-03      1.390599E-04       2
   201             1        8.259571E-03      1.384623E-04       2
   202             1        8.259552E-03      1.378688E-04       2
   203             1        8.259533E-03      1.372796E-04       2
   204             1        8.259515E-03      1.366944E-04       2
   205             1        8.259496E-03      1.361133E-04       2
   206             1        8.259478E-03      1.355362E-04       2
   207             1        8.259460E-03      1.349631E-04       2
